rating,date
1,2023-03-31
2,2024-07-28
4,2024-03-08
5,2023-12-19
5,2024-01-23
5,2024-11-08
5,2023-06-16
5,2023-06-25
4,2023-08-23
3,2024-08-03
4,2024-07-28
4,2024-05-20
3,2024-11-27
4,2024-11-27
5,2024-04-09
5,2023-04-19
5,2024-07-06
4,2023-11-11
5,2024-06-29
5,2024-09-13
5,2024-02-13
5,2023-01-22
3,2024-10-08
5,2023-08-08
5,2023-07-14
4,2023-02-25
2,2024-04-04
4,2024-07-17
5,2023-08-07
4,2024-04-10
5,2024-08-16
1,2024-06-27
2,2024-11-22
3,2023-02-10
4,2023-09-02
4,2023-04-13
3,2023-03-12
4,2024-10-31
4,2023-05-18
5,2023-07-28
4,2023-02-15
5,2024-07-18
2,2024-07-19
4,2023-08-04
4,2023-06-08
5,2023-12-07
3,2023-04-21
3,2023-12-25
3,2023-07-17
5,2024-02-14
4,2023-09-25
1,2024-09-12
3,2024-03-22
5,2024-09-30
5,2024-02-17
3,2024-01-24
5,2023-01-01
5,2024-03-28
5,2023-10-18
4,2023-08-19
3,2024-09-17
3,2024-01-29
5,2023-08-13
4,2023-05-05
5,2024-05-31
4,2023-09-11
4,2023-10-20
5,2023-08-08
4,2024-08-21
4,2024-07-05
5,2024-02-03
5,2024-09-29
5,2024-04-17
4,2024-03-07
1,2023-12-25
5,2024-09-28
5,2023-09-20
5,2023-06-17
5,2023-03-19
2,2024-08-02
5,2023-01-13
4,2024-03-21
5,2024-08-29
5,2023-09-07
4,2023-09-22
5,2023-09-05
5,2024-05-17
4,2024-04-29
5,2023-11-10
4,2023-07-09
4,2023-04-13
3,2024-06-30
4,2024-05-17
4,2024-05-04
4,2023-03-29
5,2024-04-06
5,2024-09-16
5,2023-03-18
5,2024-04-09
5,2023-07-22
5,2024-09-01
4,2023-10-06
2,2024-09-10
5,2023-01-22
1,2024-03-28
4,2024-04-26
5,2023-10-23
1,2024-06-10
4,2024-09-29
3,2023-05-15
2,2023-11-15
2,2024-10-25
4,2024-04-28
4,2023-05-20
4,2023-11-02
5,2023-12-07
4,2023-09-02
1,2024-11-10
5,2023-12-06
2,2024-02-24
4,2024-02-12
5,2024-07-08
5,2024-03-20
4,2023-02-17
4,2024-11-29
5,2024-05-24
