review_id,review_text
R01,"Love the clean design and fast loading time. It feels easy to use."
R02,"The app crashes whenever I upload a photo, which is frustrating."
R03,"Great concept, but onboarding is confusing and I got stuck on step two."
R04,"Notifications are helpful and timely, but I wish I could customize sounds."
R05,"Works okay overall, though search results are sometimes inaccurate."
R06,"I like the color palette and typography because everything feels calm and readable."
R07,"Dark mode looks great, but it resets every time I reopen the app."
R08,"The new update improved performance and screens load much faster than before."
R09,"I could not find the settings menu at first because the icon is too subtle."
R10,"Account creation was smooth and took less than a minute."
R11,"I appreciate the reminders, but there are too many and they feel spammy."
R12,"Search works well for common terms, but fails on partial keywords."
R13,"The tutorial is helpful for beginners and explains each feature clearly."
R14,"I lost my draft after a network drop, so autosave would be helpful."
R15,"Navigation is clean, and I can finish tasks with very few taps."
R16,"The app freezes on the payment screen and forces me to restart."
R17,"I enjoy the progress tracker because it motivates me to keep going."
R18,"Some buttons are too close together and I keep tapping the wrong one."
R19,"Sync across devices is reliable and happens almost instantly."
R20,"Loading spinner stays on screen too long during checkout."
R21,"The design feels modern and premium without being hard to read."
R22,"I wish there were more filter options in the explore section."
R23,"Customer support chat responded quickly and solved my issue in one message."
R24,"I had trouble understanding the error message when login failed."
R25,"This app is useful, but the subscription prompt appears too often."
R26,"The weekly report is clear and makes my habits easy to understand."
R27,"Font size is too small on my phone and there is no accessibility option."
R28,"I like that I can export my data with one click."
R29,"The calendar view is pretty, but scrolling between months is laggy."
R30,"Please add an option to hide completed items from the main list."
R31,"The app keeps signing me out after updates, which is annoying."
R32,"Sharing with teammates is simple and collaboration works well."
R33,"I got duplicate notifications for the same event three times today."
R34,"Voice input is surprisingly accurate and saves me a lot of time."
R35,"The first-run experience is strong and helped me learn quickly."
R36,"I cannot reorder list items on tablet, even though it works on phone."
R37,"Charts are clear and the labels are easy to scan."
R38,"I wish there was an offline mode for travel days."
R39,"The app startup time is excellent compared with similar tools."
R40,"Some screens have inconsistent spacing and feel less polished."
R41,"Password reset worked, but the email arrived very late."
R42,"I like the minimalist UI and the animations feel smooth."
R43,"I accidentally deleted an item and could not undo it."
R44,"The help center articles are clear and solved most of my questions."
R45,"Photo upload quality is good, but cropping controls are confusing."
R46,"The dashboard highlights important stats without overwhelming me."
R47,"I need keyboard shortcuts on desktop to use this more efficiently."
R48,"The app asks for permissions too early before I understand why."
R49,"Overall it is reliable and useful for daily planning."
R50,"Great app, but please improve battery usage in the background."
